scenario_source,scenario,sector,region,year,emission_factor_unit,emission_factor_value
pdp8_2023,steps,cement,vietnam,2025,tonnes of CO2 per tonne,0.82
pdp8_2023,steps,cement,vietnam,2026,tonnes of CO2 per tonne,0.8159
pdp8_2023,steps,cement,vietnam,2027,tonnes of CO2 per tonne,0.8118
pdp8_2023,steps,cement,vietnam,2028,tonnes of CO2 per tonne,0.8077
pdp8_2023,steps,cement,vietnam,2029,tonnes of CO2 per tonne,0.8036
pdp8_2023,steps,cement,vietnam,2030,tonnes of CO2 per tonne,0.7995
pdp8_2023,pdp8_ndc,cement,vietnam,2025,tonnes of CO2 per tonne,0.82
pdp8_2023,pdp8_ndc,cement,vietnam,2026,tonnes of CO2 per tonne,0.798
pdp8_2023,pdp8_ndc,cement,vietnam,2027,tonnes of CO2 per tonne,0.776
pdp8_2023,pdp8_ndc,cement,vietnam,2028,tonnes of CO2 per tonne,0.754
pdp8_2023,pdp8_ndc,cement,vietnam,2029,tonnes of CO2 per tonne,0.732
pdp8_2023,pdp8_ndc,cement,vietnam,2030,tonnes of CO2 per tonne,0.71
nze_2023,nze_global,cement,vietnam,2025,tonnes of CO2 per tonne,0.82
nze_2023,nze_global,cement,vietnam,2026,tonnes of CO2 per tonne,0.764
nze_2023,nze_global,cement,vietnam,2027,tonnes of CO2 per tonne,0.708
nze_2023,nze_global,cement,vietnam,2028,tonnes of CO2 per tonne,0.652
nze_2023,nze_global,cement,vietnam,2029,tonnes of CO2 per tonne,0.596
nze_2023,nze_global,cement,vietnam,2030,tonnes of CO2 per tonne,0.54
pdp8_2023,steps,steel,vietnam,2025,tonnes of CO2 per tonne,1.75
pdp8_2023,steps,steel,vietnam,2026,tonnes of CO2 per tonne,1.73
pdp8_2023,steps,steel,vietnam,2027,tonnes of CO2 per tonne,1.71
pdp8_2023,steps,steel,vietnam,2028,tonnes of CO2 per tonne,1.69
pdp8_2023,steps,steel,vietnam,2029,tonnes of CO2 per tonne,1.67
pdp8_2023,steps,steel,vietnam,2030,tonnes of CO2 per tonne,1.65
pdp8_2023,pdp8_ndc,steel,vietnam,2025,tonnes of CO2 per tonne,1.75
pdp8_2023,pdp8_ndc,steel,vietnam,2026,tonnes of CO2 per tonne,1.7
pdp8_2023,pdp8_ndc,steel,vietnam,2027,tonnes of CO2 per tonne,1.65
pdp8_2023,pdp8_ndc,steel,vietnam,2028,tonnes of CO2 per tonne,1.6
pdp8_2023,pdp8_ndc,steel,vietnam,2029,tonnes of CO2 per tonne,1.55
pdp8_2023,pdp8_ndc,steel,vietnam,2030,tonnes of CO2 per tonne,1.5
nze_2023,nze_global,steel,vietnam,2025,tonnes of CO2 per tonne,1.75
nze_2023,nze_global,steel,vietnam,2026,tonnes of CO2 per tonne,1.66
nze_2023,nze_global,steel,vietnam,2027,tonnes of CO2 per tonne,1.57
nze_2023,nze_global,steel,vietnam,2028,tonnes of CO2 per tonne,1.48
nze_2023,nze_global,steel,vietnam,2029,tonnes of CO2 per tonne,1.39
nze_2023,nze_global,steel,vietnam,2030,tonnes of CO2 per tonne,1.3
